Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Lighting Type,Door Deco,Catalog,Filename,Variant ID,Internal ID
autograph cards,,Signature,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,White,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,No lighting,No,For sale,FtrAutograph_Remake_0_1,0_1,1899
autograph cards,,Handprints,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,No lighting,No,For sale,FtrAutograph_Remake_1_0,1_0,1899
autograph cards,,Handprints,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,No lighting,No,For sale,FtrAutograph_Remake_1_1,1_1,1899
autograph cards,,Illustration,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,No lighting,No,For sale,FtrAutograph_Remake_2_0,2_0,1899
autograph cards,,Illustration,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,No lighting,No,For sale,FtrAutograph_Remake_2_1,2_1,1899
autograph cards,,Words of wisdom,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,No lighting,No,For sale,FtrAutograph_Remake_3_0,3_0,1899
autograph cards,,Words of wisdom,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,school,den,None,None,No,Study,No lighting,No,For sale,FtrAutograph_Remake_3_1,3_1,1899
bamboo wall decoration,,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,160,Green,Red,0.5x1 ,Crafting,Spring seasonal DIY using bamboo (from bamboo trees),1.0.0,zen-style,None,bamboo,None,No,Plants,No lighting,No,Not for sale,FtrBambooFlowerwall_Remake_0_0,0_0,3558
bamboo wall decoration,,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,160,Yellow,Red,0.5x1 ,Crafting,Spring seasonal DIY using bamboo (from bamboo trees),1.0.0,zen-style,None,bamboo,None,No,Plants,No lighting,No,Not for sale,FtrBambooFlowerwall_Remake_1_0,1_0,3558
bamboo wall decoration,,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,160,Brown,Green,0.5x1 ,Crafting,Spring seasonal DIY using bamboo (from bamboo trees),1.0.0,zen-style,None,bamboo,None,No,Plants,No lighting,No,Not for sale,FtrBambooFlowerwall_Remake_2_0,2_0,3558
bathroom towel rack,,Silver,NA,NA,NA,No,No,No,NA,1400,350,Gray,White,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,bathroom,None,None,None,No,Bathroom Things,No lighting,No,For sale,FtrTowelrackWall_Remake_0_0,0_0,4030
bathroom towel rack,,Gold,NA,NA,NA,No,No,No,NA,1400,350,Yellow,Brown,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,bathroom,None,None,None,No,Bathroom Things,No lighting,No,For sale,FtrTowelrackWall_Remake_1_0,1_0,4030
bathroom towel rack,,Copper,NA,NA,NA,No,No,No,NA,1400,350,Brown,Pink,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,bathroom,None,None,None,No,Bathroom Things,No lighting,No,For sale,FtrTowelrackWall_Remake_2_0,2_0,4030
bathroom towel rack,,Black,NA,NA,NA,No,No,No,NA,1400,350,Black,Gray,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,bathroom,None,None,None,No,Bathroom Things,No lighting,No,For sale,FtrTowelrackWall_Remake_3_0,3_0,4030
blue rose wreath,,NA,NA,NA,NA,Yes,No,No,NA,NFS,20000,Blue,Blue,1x1 ,Crafting,,1.0.0,fancy,None,flowers,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorOrnamentWreathRoseUrtraRare,NA,5772
bone doorplate,,Brown,Color,NA,NA,Yes,Yes,No,1,NFS,360,Brown,Beige,1x1 ,Crafting,,1.0.0,child's room,living room,None,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorPlateBone_Remake_0_0,0_0,4751
bone doorplate,,White,Color,NA,NA,Yes,Yes,No,1,NFS,360,White,Red,1x1 ,Crafting,,1.0.0,child's room,living room,None,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorPlateBone_Remake_1_0,1_0,4751
bone doorplate,,Black,Color,NA,NA,Yes,Yes,No,1,NFS,360,Black,Beige,1x1 ,Crafting,,1.0.0,child's room,living room,None,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorPlateBone_Remake_2_0,2_0,4751
bone doorplate,,Pink,Color,NA,NA,Yes,Yes,No,1,NFS,360,Pink,Red,1x1 ,Crafting,,1.0.0,child's room,living room,None,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorPlateBone_Remake_3_0,3_0,4751
bone doorplate,,Red,Color,NA,NA,Yes,Yes,No,1,NFS,360,Red,Beige,1x1 ,Crafting,,1.0.0,child's room,living room,None,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorPlateBone_Remake_4_0,4_0,4751
bone doorplate,,Yellow,Color,NA,NA,Yes,Yes,No,1,NFS,360,Yellow,Brown,1x1 ,Crafting,,1.0.0,child's room,living room,None,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorPlateBone_Remake_5_0,5_0,4751
bone doorplate,,Blue,Color,NA,NA,Yes,Yes,No,1,NFS,360,Blue,White,1x1 ,Crafting,,1.0.0,child's room,living room,None,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorPlateBone_Remake_6_0,6_0,4751
bone doorplate,,Natural wood,Color,NA,NA,Yes,Yes,No,1,NFS,360,Beige,Brown,1x1 ,Crafting,,1.0.0,child's room,living room,None,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorPlateBone_Remake_7_0,7_0,4751
boomerang,,Natural,Design,NA,NA,Yes,Yes,No,1,NFS,360,Brown,Beige,1x0.5 ,Crafting,,1.0.0,child's room,None,None,None,No,Toy,No lighting,No,Not for sale,FtrBoomerang_Remake_0_0,0_0,682
boomerang,,Green & orange,Design,NA,NA,Yes,Yes,No,1,NFS,360,Green,Orange,1x0.5 ,Crafting,,1.0.0,child's room,None,None,None,No,Toy,No lighting,No,Not for sale,FtrBoomerang_Remake_1_0,1_0,682
boomerang,,Dark brown,Design,NA,NA,Yes,Yes,No,1,NFS,360,Brown,Black,1x0.5 ,Crafting,,1.0.0,child's room,None,None,None,No,Toy,No lighting,No,Not for sale,FtrBoomerang_Remake_2_0,2_0,682
boomerang,,Red & black,Design,NA,NA,Yes,Yes,No,1,NFS,360,Red,Black,1x0.5 ,Crafting,,1.0.0,child's room,None,None,None,No,Toy,No lighting,No,Not for sale,FtrBoomerang_Remake_3_0,3_0,682
boomerang,,White & blue,Design,NA,NA,Yes,Yes,No,1,NFS,360,White,Light blue,1x0.5 ,Crafting,,1.0.0,child's room,None,None,None,No,Toy,No lighting,No,Not for sale,FtrBoomerang_Remake_4_0,4_0,682
breaker,,NA,NA,NA,NA,No,No,No,NA,820,205,White,Black,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,garage,facility,None,None,No,Home Appliances,No lighting,No,For sale,FtrBreaker,NA,875
bronze HHA plaque,,NA,NA,NA,NA,No,No,No,NA,NFS,400,Brown,Red,1x1 ,HHA,,1.0.0,living room,expensive,None,None,No,Museum,No lighting,No,Not for sale,FtrShieldHhaBronze,NA,7037
broom and dustpan,,Natural,NA,NA,NA,No,No,No,NA,910,227,Brown,Gray,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,None,None,None,No,Supplies,No lighting,No,For sale,FtrCleaningset_Remake_0_0,0_0,3967
broom and dustpan,,White,NA,NA,NA,No,No,No,NA,910,227,White,Gray,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,None,None,None,No,Supplies,No lighting,No,For sale,FtrCleaningset_Remake_1_0,1_0,3967
broom and dustpan,,Dark brown,NA,NA,NA,No,No,No,NA,910,227,Brown,Black,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,None,None,None,No,Supplies,No lighting,No,For sale,FtrCleaningset_Remake_2_0,2_0,3967
broom and dustpan,,Colorful,NA,NA,NA,No,No,No,NA,910,227,Pink,Brown,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,None,None,None,No,Supplies,No lighting,No,For sale,FtrCleaningset_Remake_3_0,3_0,3967
Bunny Day glowy garland,,NA,NA,NA,NA,Yes,No,No,NA,NFS,2400,Colorful,Colorful,2x1,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event",1.1.0,fancy,party,Bunny Day,None,Yes,Lamp,Emission,No,Not for sale,FtrEggLampWall,NA,12417
Bunny Day wall clock,,NA,NA,NA,NA,Yes,No,No,NA,NFS,1200,Light blue,Colorful,1x1.5,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event",1.1.0,fancy,None,Bunny Day,None,Yes,Clock,No lighting,No,Not for sale,FtrEggClock,NA,12418
Bunny Day wreath,,NA,NA,NA,NA,Yes,No,No,NA,NFS,2400,None,None,1x1,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event",1.1.0,fancy,party,Bunny Day,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorOrnamentWreathEaster,NA,12517
butterfly-fish model,,NA,NA,NA,NA,No,No,No,NA,1300,325,Yellow,Yellow,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,ocean,facility,None,None,No,Special Fish,No lighting,No,For sale,FtrFishChouchouuoWall,NA,11182
cherry lamp,,Cherry,Fruit type,NA,NA,Yes,Yes,No,4,NFS,2400,Red,Green,1x1 ,Crafting,,1.0.0,fancy,None,fruits,cherry,Yes,Lamp,Fluorescent,No,Not for sale,FtrFruitsLampW_Remake_0_0,0_0,4012
cherry lamp,,Black cherry,Fruit type,NA,NA,Yes,Yes,No,4,NFS,2400,Red,Green,1x1 ,Crafting,,1.0.0,fancy,None,fruits,cherry,Yes,Lamp,Fluorescent,No,Not for sale,FtrFruitsLampW_Remake_1_0,1_0,4012
cherry-blossom clock,,Pink,Color,NA,NA,Yes,Yes,No,4,NFS,2750,Pink,Pink,1x1 ,Crafting,Cherry blossom seasonal DIY using cherry-blossom petals (caught with net),1.0.0,fancy,None,cherry blossoms,None,Yes,Clock,No lighting,No,Not for sale,FtrSakuraClockW_Remake_0_0,0_0,6832
cherry-blossom clock,,Pink-white,Color,NA,NA,Yes,Yes,No,4,NFS,2750,Pink,White,1x1 ,Crafting,Cherry blossom seasonal DIY using cherry-blossom petals (caught with net),1.0.0,fancy,None,cherry blossoms,None,Yes,Clock,No lighting,No,Not for sale,FtrSakuraClockW_Remake_1_0,1_0,6832
chic cosmos wreath,,NA,NA,NA,NA,Yes,No,No,NA,NFS,4800,Black,Black,1x1 ,Crafting,,1.0.0,fancy,None,flowers,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorOrnamentWreathCosmosRare,NA,5764
chic windflower wreath,,NA,NA,NA,NA,Yes,No,No,NA,NFS,4800,Purple,Purple,1x1 ,Crafting,,1.0.0,fancy,None,flowers,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorOrnamentWreathAnemoneRare,NA,5765
coconut wall planter,,NA,NA,NA,NA,Yes,No,No,NA,NFS,600,Green,Beige,1x1.5 ,Crafting,,1.0.0,ocean,living room,None,None,No,Plants,No lighting,No,Not for sale,FtrPlanterPalm,NA,4130
cool hyacinth wreath,,NA,NA,NA,NA,Yes,No,No,NA,NFS,1440,Blue,Orange,1x1 ,Crafting,,1.0.0,fancy,None,flowers,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorOrnamentWreathHyacinthMix,NA,5750
cool pansy wreath,,NA,NA,NA,NA,Yes,No,No,NA,NFS,4800,Purple,Purple,1x1 ,Crafting,,1.0.0,fancy,None,flowers,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorOrnamentWreathPansyRare,NA,5767
cool windflower wreath,,NA,NA,NA,NA,Yes,No,No,NA,NFS,1200,Blue,Blue,1x1 ,Crafting,,1.0.0,fancy,None,flowers,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorOrnamentWreathAnemoneMix,NA,5746
corkboard,,Natural,NA,Apple,Favorite card,No,No,Yes,1,1400,350,Beige,Red,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,No lighting,No,For sale,FtrCorkboard_Remake_0_0,0_0,1783
corkboard,,Natural,NA,Fish,Favorite card,No,No,Yes,1,1400,350,Beige,Blue,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,No lighting,No,For sale,FtrCorkboard_Remake_0_1,0_1,1783
corkboard,,Natural,NA,Flower,Favorite card,No,No,Yes,1,1400,350,Beige,Green,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,No lighting,No,For sale,FtrCorkboard_Remake_0_2,0_2,1783
corkboard,,White,NA,Apple,Favorite card,No,No,Yes,1,1400,350,White,Red,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,No lighting,No,For sale,FtrCorkboard_Remake_1_0,1_0,1783
corkboard,,White,NA,Fish,Favorite card,No,No,Yes,1,1400,350,White,Blue,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,No lighting,No,For sale,FtrCorkboard_Remake_1_1,1_1,1783
corkboard,,White,NA,Flower,Favorite card,No,No,Yes,1,1400,350,White,Green,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,No lighting,No,For sale,FtrCorkboard_Remake_1_2,1_2,1783
corkboard,,Blue,NA,Apple,Favorite card,No,No,Yes,1,1400,350,Blue,Red,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,No lighting,No,For sale,FtrCorkboard_Remake_2_0,2_0,1783
corkboard,,Blue,NA,Fish,Favorite card,No,No,Yes,1,1400,350,Blue,Blue,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,No lighting,No,For sale,FtrCorkboard_Remake_2_1,2_1,1783
corkboard,,Blue,NA,Flower,Favorite card,No,No,Yes,1,1400,350,Blue,Green,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,office,None,None,No,Study,No lighting,No,For sale,FtrCorkboard_Remake_2_2,2_2,1783
cosmos wreath,,NA,NA,NA,NA,Yes,No,No,NA,NFS,720,Red,Yellow,1x1 ,Crafting,,1.0.0,fancy,None,flowers,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorOrnamentWreathCosmos,NA,4293
crest doorplate,,Silver,Color,NA,NA,Yes,Yes,No,1,NFS,3000,Gray,Black,1x1 ,Crafting,,1.0.0,expensive,None,None,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorOrnamentCrest_Remake_0_0,0_0,5717
crest doorplate,,Gold & silver,Color,NA,NA,Yes,Yes,No,1,NFS,3000,Yellow,Gray,1x1 ,Crafting,,1.0.0,expensive,None,None,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorOrnamentCrest_Remake_1_0,1_0,5717
crest doorplate,,Silver & blue,Color,NA,NA,Yes,Yes,No,1,NFS,3000,Gray,Blue,1x1 ,Crafting,,1.0.0,expensive,None,None,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorOrnamentCrest_Remake_2_0,2_0,5717
crest doorplate,,Red & white,Color,NA,NA,Yes,Yes,No,1,NFS,3000,Red,White,1x1 ,Crafting,,1.0.0,expensive,None,None,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorOrnamentCrest_Remake_3_0,3_0,5717
crest doorplate,,Silver & green,Color,NA,NA,Yes,Yes,No,1,NFS,3000,Gray,Green,1x1 ,Crafting,,1.0.0,expensive,None,None,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorOrnamentCrest_Remake_4_0,4_0,5717
crest doorplate,,Colorful,Color,NA,NA,Yes,Yes,No,1,NFS,3000,,,1x1 ,Crafting,,1.0.0,expensive,None,None,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorOrnamentCrest_Remake_5_0,5_0,5717
cuckoo clock,,Natural,NA,NA,NA,No,No,No,NA,3200,800,Beige,Beige,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,child's room,None,None,Yes,Clock,No lighting,No,For sale,FtrCuckooclock_Remake_0_0,0_0,915
cuckoo clock,,Green,NA,NA,NA,No,No,No,NA,3200,800,Green,Brown,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,child's room,None,None,Yes,Clock,No lighting,No,For sale,FtrCuckooclock_Remake_1_0,1_0,915
cuckoo clock,,Blue,NA,NA,NA,No,No,No,NA,3200,800,Blue,Brown,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,child's room,None,None,Yes,Clock,No lighting,No,For sale,FtrCuckooclock_Remake_2_0,2_0,915
cuckoo clock,,Yellow,NA,NA,NA,No,No,No,NA,3200,800,Yellow,Beige,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,child's room,None,None,Yes,Clock,No lighting,No,For sale,FtrCuckooclock_Remake_3_0,3_0,915
cuckoo clock,,Red,NA,NA,NA,No,No,No,NA,3200,800,Red,Brown,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,child's room,None,None,Yes,Clock,No lighting,No,For sale,FtrCuckooclock_Remake_4_0,4_0,915
cuckoo clock,,White,NA,NA,NA,No,No,No,NA,3200,800,White,White,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,child's room,None,None,Yes,Clock,No lighting,No,For sale,FtrCuckooclock_Remake_5_0,5_0,915
cuckoo clock,,Black,NA,NA,NA,No,No,No,NA,3200,800,Black,Black,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,child's room,None,None,Yes,Clock,No lighting,No,For sale,FtrCuckooclock_Remake_6_0,6_0,915
cute wall-mounted clock,,White,NA,NA,NA,No,No,No,NA,1200,300,White,Pink,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,fancy,None,cute,None,Yes,Clock,No lighting,No,For sale,FtrCuteClockW_Remake_0_0,0_0,3996
cute wall-mounted clock,,Sky blue,NA,NA,NA,No,No,No,NA,1200,300,Light blue,Blue,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,fancy,None,cute,None,Yes,Clock,No lighting,No,For sale,FtrCuteClockW_Remake_1_0,1_0,3996
cute wall-mounted clock,,Yellow,NA,NA,NA,No,No,No,NA,1200,300,Yellow,Orange,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,fancy,None,cute,None,Yes,Clock,No lighting,No,For sale,FtrCuteClockW_Remake_2_0,2_0,3996
cute wall-mounted clock,,Red,NA,NA,NA,No,No,No,NA,1200,300,Red,Red,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,fancy,None,cute,None,Yes,Clock,No lighting,No,For sale,FtrCuteClockW_Remake_3_0,3_0,3996
cute wall-mounted clock,,Blue,NA,NA,NA,No,No,No,NA,1200,300,Blue,Black,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,fancy,None,cute,None,Yes,Clock,No lighting,No,For sale,FtrCuteClockW_Remake_4_0,4_0,3996
dark lily wreath,,NA,NA,NA,NA,Yes,No,No,NA,NFS,1600,Black,Black,1x1 ,Crafting,,1.0.0,fancy,horror,flowers,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorOrnamentWreathYuriRare,NA,5770
dark rose wreath,,NA,NA,NA,NA,Yes,No,No,NA,NFS,4320,Black,Purple,1x1 ,Crafting,,1.0.0,fancy,horror,flowers,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorOrnamentWreathRoseRare,NA,5766
dark tulip wreath,,NA,NA,NA,NA,Yes,No,No,NA,NFS,1600,Black,Black,1x1 ,Crafting,,1.0.0,fancy,horror,flowers,None,No,House Door Decor,No lighting,Yes,Not for sale,FtrDoorOrnamentWreathTulipRare,NA,5771
deer decoration,,Natural,Paint color,NA,NA,Yes,Yes,No,2,NFS,960,Orange,Orange,1x1.5 ,Crafting,,1.0.0,living room,None,None,None,No,Animal,No lighting,No,Not for sale,FtrHuntingtrophy_Remake_0_0,0_0,3340
deer decoration,,Ash,Paint color,NA,NA,Yes,Yes,No,2,NFS,960,Beige,Beige,1x1.5 ,Crafting,,1.0.0,living room,None,None,None,No,Animal,No lighting,No,Not for sale,FtrHuntingtrophy_Remake_1_0,1_0,3340
deer decoration,,Ivory,Paint color,NA,NA,Yes,Yes,No,2,NFS,960,Yellow,Yellow,1x1.5 ,Crafting,,1.0.0,living room,None,None,None,No,Animal,No lighting,No,Not for sale,FtrHuntingtrophy_Remake_2_0,2_0,3340
deer decoration,,White,Paint color,NA,NA,Yes,Yes,No,2,NFS,960,White,White,1x1.5 ,Crafting,,1.0.0,living room,None,None,None,No,Animal,No lighting,No,Not for sale,FtrHuntingtrophy_Remake_3_0,3_0,3340
deer decoration,,Black,Paint color,NA,NA,Yes,Yes,No,2,NFS,960,Black,Black,1x1.5 ,Crafting,,1.0.0,living room,None,None,None,No,Animal,No lighting,No,Not for sale,FtrHuntingtrophy_Remake_4_0,4_0,3340
diner neon clock,,Red,NA,Red lines,Clock face,No,No,Yes,1,1500,375,Red,Colorful,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,None,diner,None,Yes,Clock,No lighting,No,For sale,FtrAmeretroClock_Remake_0_0,0_0,4144
diner neon clock,,Red,NA,Blue bee,Clock face,No,No,Yes,1,1500,375,Red,Blue,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,None,diner,None,Yes,Clock,No lighting,No,For sale,FtrAmeretroClock_Remake_0_1,0_1,4144
diner neon clock,,Red,NA,B & W numeral,Clock face,No,No,Yes,1,1500,375,Red,Black,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,None,diner,None,Yes,Clock,No lighting,No,For sale,FtrAmeretroClock_Remake_0_2,0_2,4144
