Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID
amp,,White,NA,NA,NA,No,No,No,NA,5100,1275,White,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale,FtrAmp_Remake_1_0,1_0,849
amp,,Orange,NA,NA,NA,No,No,No,NA,5100,1275,Orange,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale,FtrAmp_Remake_2_0,2_0,849
amp,,Brown,NA,NA,NA,No,No,No,NA,5100,1275,Brown,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale,FtrAmp_Remake_3_0,3_0,849
amp,,Blue,NA,NA,NA,No,No,No,NA,5100,1275,Blue,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale,FtrAmp_Remake_4_0,4_0,849
amp,,Red,NA,NA,NA,No,No,No,NA,5100,1275,Red,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale,FtrAmp_Remake_5_0,5_0,849
amp,,Pink,NA,NA,NA,No,No,No,NA,5100,1275,Pink,Gray,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale,FtrAmp_Remake_6_0,6_0,849
analog kitchen scale,,Red,NA,NA,NA,No,No,No,NA,1100,275,Red,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrWeighing_Remake_0_0,0_0,3993
analog kitchen scale,,Yellow,NA,NA,NA,No,No,No,NA,1100,275,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrWeighing_Remake_1_0,1_0,3993
analog kitchen scale,,Green,NA,NA,NA,No,No,No,NA,1100,275,Green,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrWeighing_Remake_2_0,2_0,3993
analog kitchen scale,,Blue,NA,NA,NA,No,No,No,NA,1100,275,Blue,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrWeighing_Remake_3_0,3_0,3993
analog kitchen scale,,Pink,NA,NA,NA,No,No,No,NA,1100,275,Pink,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrWeighing_Remake_4_0,4_0,3993
analog kitchen scale,,Ivory,NA,NA,NA,No,No,No,NA,1100,275,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrWeighing_Remake_5_0,5_0,3993
analog kitchen scale,,Light blue,NA,NA,NA,No,No,No,NA,1100,275,Light blue,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrWeighing_Remake_6_0,6_0,3993
analog kitchen scale,,Black,NA,NA,NA,No,No,No,NA,1100,275,Black,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale,FtrWeighing_Remake_7_0,7_0,3993
anchovy model,,NA,NA,NA,NA,No,No,No,NA,NFS,600,Blue,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale,FtrFishAntyobiToy,NA,6999
angelfish model,,NA,NA,NA,NA,No,No,No,NA,NFS,9000,Yellow,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale,FtrFishAngelfishToy,NA,6933
ant farm,,NA,NA,NA,NA,No,No,No,NA,1400,350,Green,Brown,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,facility,child's room,None,None,No,Special Insect,Does not play music,No lighting,For sale,FtrInsectAriFarm,NA,11866
ant model,,NA,NA,NA,NA,No,No,No,NA,NFS,240,Black,Black,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,Does not play music,No lighting,Not for sale,FtrInsectAriToy,NA,7053
anthurium plant,,White,NA,NA,NA,No,No,No,NA,990,247,Red,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,Does not play music,No lighting,For sale,FtrPlantAnthurium_Remake_0_0,0_0,3949
anthurium plant,,Brown,NA,NA,NA,No,No,No,NA,990,247,Red,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,Does not play music,No lighting,For sale,FtrPlantAnthurium_Remake_1_0,1_0,3949
anthurium plant,,Light blue,NA,NA,NA,No,No,No,NA,990,247,Red,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,Does not play music,No lighting,For sale,FtrPlantAnthurium_Remake_2_0,2_0,3949
anthurium plant,,Pink,NA,NA,NA,No,No,No,NA,990,247,Pink,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,Does not play music,No lighting,For sale,FtrPlantAnthurium_Remake_3_0,3_0,3949
anthurium plant,,Black,NA,NA,NA,No,No,No,NA,990,247,White,Green,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,living room,None,None,None,No,Plants,Does not play music,No lighting,For sale,FtrPlantAnthurium_Remake_4_0,4_0,3949
arapaima model,,NA,NA,NA,NA,No,No,No,NA,NFS,30000,Black,Black,2x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale,FtrFishPirarukuToy,NA,7006
aroma pot,,White,Variation,NA,NA,Yes,Yes,No,1,NFS,600,White,Light blue,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_0_0,0_0,1753
aroma pot,,Brown,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Brown,Orange,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_1_0,1_0,1753
aroma pot,,Green,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Green,Green,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_2_0,2_0,1753
aroma pot,,Pink,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Pink,Pink,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_3_0,3_0,1753
aroma pot,,Cream,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Green,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_4_0,4_0,1753
aroma pot,,Black,Variation,NA,NA,Yes,Yes,No,1,NFS,600,Black,Blue,1x1,Crafting,,1.0.0,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale,FtrAlomapot_Remake_5_0,5_0,1753
arowana model,,NA,NA,NA,NA,No,No,No,NA,NFS,30000,Yellow,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale,FtrFishArowanaToy,NA,6935
Baby bear,,Cream,NA,None,Shirt,No,No,Yes,1,1800,450,Beige,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_0_0,0_0,1501
Baby bear,,Cream,NA,Heart,Shirt,No,No,Yes,1,1800,450,Beige,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_0_1,0_1,1501
Baby bear,,Cream,NA,Fish,Shirt,No,No,Yes,1,1800,450,Beige,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_0_2,0_2,1501
Baby bear,,Cream,NA,Star,Shirt,No,No,Yes,1,1800,450,Beige,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_0_3,0_3,1501
Baby bear,,Caramel mocha,NA,None,Shirt,No,No,Yes,1,1800,450,Beige,Beige,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_1_0,1_0,1501
Baby bear,,Caramel mocha,NA,Heart,Shirt,No,No,Yes,1,1800,450,Beige,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_1_1,1_1,1501
Baby bear,,Caramel mocha,NA,Fish,Shirt,No,No,Yes,1,1800,450,Beige,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_1_2,1_2,1501
Baby bear,,Caramel mocha,NA,Star,Shirt,No,No,Yes,1,1800,450,Beige,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_1_3,1_3,1501
Baby bear,,Choco,NA,None,Shirt,No,No,Yes,1,1800,450,Brown,Brown,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_2_0,2_0,1501
Baby bear,,Choco,NA,Heart,Shirt,No,No,Yes,1,1800,450,Brown,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_2_1,2_1,1501
Baby bear,,Choco,NA,Fish,Shirt,No,No,Yes,1,1800,450,Brown,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_2_2,2_2,1501
Baby bear,,Choco,NA,Star,Shirt,No,No,Yes,1,1800,450,Brown,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_2_3,2_3,1501
Baby bear,,Floral,NA,None,Shirt,No,No,Yes,1,1800,450,Blue,Pink,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_3_0,3_0,1501
Baby bear,,Floral,NA,Heart,Shirt,No,No,Yes,1,1800,450,Blue,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_3_1,3_1,1501
Baby bear,,Floral,NA,Fish,Shirt,No,No,Yes,1,1800,450,Blue,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_3_2,3_2,1501
Baby bear,,Floral,NA,Star,Shirt,No,No,Yes,1,1800,450,Blue,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_3_3,3_3,1501
Baby bear,,Checkered,NA,None,Shirt,No,No,Yes,1,1800,450,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_4_0,4_0,1501
Baby bear,,Checkered,NA,Heart,Shirt,No,No,Yes,1,1800,450,Yellow,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_4_1,4_1,1501
Baby bear,,Checkered,NA,Fish,Shirt,No,No,Yes,1,1800,450,Yellow,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_4_2,4_2,1501
Baby bear,,Checkered,NA,Star,Shirt,No,No,Yes,1,1800,450,Yellow,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_4_3,4_3,1501
Baby bear,,Tweed,NA,None,Shirt,No,No,Yes,1,1800,450,Colorful,Colorful,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_5_0,5_0,1501
Baby bear,,Tweed,NA,Heart,Shirt,No,No,Yes,1,1800,450,Colorful,Red,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_5_1,5_1,1501
Baby bear,,Tweed,NA,Fish,Shirt,No,No,Yes,1,1800,450,Colorful,Blue,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_5_2,5_2,1501
Baby bear,,Tweed,NA,Star,Shirt,No,No,Yes,1,1800,450,Colorful,Yellow,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale,FtrBearS_Remake_5_3,5_3,1501
Baby panda,,NA,NA,NA,NA,No,No,No,NA,1800,450,Green,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fancy,child's room,None,panda,No,Animal,Does not play music,No lighting,For sale,FtrPandaS,NA,9698
bagworm model,,NA,NA,NA,NA,No,No,No,NA,NFS,1800,Brown,Brown,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,Does not play music,No lighting,Not for sale,FtrInsectMinomushiToy,NA,7082
ball,,Basketball,NA,NA,NA,No,No,No,NA,520,130,Orange,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,Yes,Sports,Does not play music,No lighting,For sale,FtrBall_Remake_0_0,0_0,2010
ball,,Soccer ball,NA,NA,NA,No,No,No,NA,520,130,White,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,Yes,Sports,Does not play music,No lighting,For sale,FtrBall_Remake_1_0,1_0,2010
ball,,Volleyball,NA,NA,NA,No,No,No,NA,520,130,White,White,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,Yes,Sports,Does not play music,No lighting,For sale,FtrBall_Remake_2_0,2_0,2010
ball,,Dodgeball,NA,NA,NA,No,No,No,NA,520,130,Yellow,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,fitness,school,None,None,Yes,Sports,Does not play music,No lighting,For sale,FtrBall_Remake_3_0,3_0,2010
bamboo candleholder,,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,2,NFS,880,Green,Beige,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,Yes,Lamp,Does not play music,Candle,Not for sale,FtrBambooCandle_Remake_0_0,0_0,3554
bamboo candleholder,,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,2,NFS,880,Yellow,Beige,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,Yes,Lamp,Does not play music,Candle,Not for sale,FtrBambooCandle_Remake_1_0,1_0,3554
bamboo candleholder,,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,2,NFS,880,Brown,Beige,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,Yes,Lamp,Does not play music,Candle,Not for sale,FtrBambooCandle_Remake_2_0,2_0,3554
bamboo drum,,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,720,Green,Pink,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrBamboodrum_Remake_0_0,0_0,4093
bamboo drum,,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,720,Yellow,Orange,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrBamboodrum_Remake_1_0,1_0,4093
bamboo drum,,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,720,Brown,Light blue,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrBamboodrum_Remake_2_0,2_0,4093
bamboo lunch box,,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,640,Green,Colorful,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,No,Dining,Does not play music,No lighting,Not for sale,FtrBambooLunch_Remake_0_0,0_0,5978
bamboo lunch box,,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,640,Yellow,Colorful,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,No,Dining,Does not play music,No lighting,Not for sale,FtrBambooLunch_Remake_1_0,1_0,5978
bamboo lunch box,,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,640,Brown,Colorful,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,No,Dining,Does not play music,No lighting,Not for sale,FtrBambooLunch_Remake_2_0,2_0,5978
bamboo sphere,,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,480,Green,Blue,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,No,Toy,Does not play music,No lighting,Not for sale,FtrBambooBall_Remake_0_0,0_0,5976
bamboo sphere,,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,480,Yellow,Purple,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,No,Toy,Does not play music,No lighting,Not for sale,FtrBambooBall_Remake_1_0,1_0,5976
bamboo sphere,,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,480,Brown,White,1x1,Crafting,,1.0.0,zen-style,None,bamboo,None,No,Toy,Does not play music,No lighting,Not for sale,FtrBambooBall_Remake_2_0,2_0,5976
bamboo-shoot lamp,,NA,NA,NA,NA,Yes,No,No,NA,NFS,4900,Brown,Beige,1x1,Crafting,Spring seasonal DIY using bamboo (from bamboo trees),1.0.0,zen-style,None,bamboo,None,Yes,Lamp,Does not play music,Fluorescent,Not for sale,FtrBambooshootLamp,NA,5977
barred knifejaw model,,NA,NA,NA,NA,No,No,No,NA,NFS,15000,White,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale,FtrFishIshidaiToy,NA,6959
barreleye model,,NA,NA,NA,NA,No,No,No,NA,NFS,45000,Black,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale,FtrFishDemenigisuToy,NA,6943
beach ball,,Colorful,NA,NA,NA,No,No,No,NA,430,107,Colorful,Colorful,1x1,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,ocean,None,None,None,Yes,Seaside,Does not play music,No lighting,For sale,FtrBeachball_Remake_0_0,0_0,9584
beach ball,,Blue,NA,NA,NA,No,No,No,NA,430,107,Blue,White,1x1,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,ocean,None,None,None,Yes,Seaside,Does not play music,No lighting,For sale,FtrBeachball_Remake_1_0,1_0,9584
beach ball,,Red,NA,NA,NA,No,No,No,NA,430,107,Red,White,1x1,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,ocean,None,None,None,Yes,Seaside,Does not play music,No lighting,For sale,FtrBeachball_Remake_2_0,2_0,9584
beach ball,,Watermelon,NA,NA,NA,No,No,No,NA,430,107,Green,Black,1x1,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,ocean,None,None,None,Yes,Seaside,Does not play music,No lighting,For sale,FtrBeachball_Remake_3_0,3_0,9584
bell cricket model,,NA,NA,NA,NA,No,No,No,NA,NFS,1290,Black,Black,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Insect,Does not play music,No lighting,Not for sale,FtrInsectSuzumushiToy,NA,7096
betta model,,NA,NA,NA,NA,No,No,No,NA,NFS,7500,Light blue,Black,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,1.0.0,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale,FtrFishBetaToy,NA,6937
bingo wheel,,NA,NA,NA,NA,No,No,No,NA,1000,250,Yellow,Black,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,1.0.0,party,None,None,None,Yes,Toy,Does not play music,No lighting,For sale,FtrBingo,NA,864
birthday cake,,Whipped-cream topping,Variation,NA,NA,No,Yes,No,1,NFS,100,White,Colorful,1x1,Birthday,,1.0.0,party,fancy,None,birthday,Yes,Seasonal Decor,Does not play music,Candle,Not for sale,FtrBirthdayCake_Remake_0_0,0_0,3592
birthday cake,,Chocolate buttercream,Variation,NA,NA,No,Yes,No,1,NFS,100,Brown,Colorful,1x1,Birthday,,1.0.0,party,fancy,None,birthday,Yes,Seasonal Decor,Does not play music,Candle,Not for sale,FtrBirthdayCake_Remake_1_0,1_0,3592
birthday cake,,Strawberry buttercream,Variation,NA,NA,No,Yes,No,1,NFS,100,Pink,Colorful,1x1,Birthday,,1.0.0,party,fancy,None,birthday,Yes,Seasonal Decor,Does not play music,Candle,Not for sale,FtrBirthdayCake_Remake_2_0,2_0,3592
birthday candles,,Colorful,Variation,NA,NA,No,Yes,No,1,NFS,300,Colorful,Colorful,1x1,Birthday,,1.0.0,party,fancy,None,birthday,Yes,Lamp,Does not play music,Candle,Not for sale,FtrBirthdayCandle_Remake_0_0,0_0,3591
birthday candles,,Pink,Variation,NA,NA,No,Yes,No,1,NFS,300,Colorful,Pink,1x1,Birthday,,1.0.0,party,fancy,None,birthday,Yes,Lamp,Does not play music,Candle,Not for sale,FtrBirthdayCandle_Remake_1_0,1_0,3591
birthday candles,,Blue,Variation,NA,NA,No,Yes,No,1,NFS,300,Colorful,Blue,1x1,Birthday,,1.0.0,party,fancy,None,birthday,Yes,Lamp,Does not play music,Candle,Not for sale,FtrBirthdayCandle_Remake_2_0,2_0,3591
birthday candles,,Green,Variation,NA,NA,No,Yes,No,1,NFS,300,Colorful,Green,1x1,Birthday,,1.0.0,party,fancy,None,birthday,Yes,Lamp,Does not play music,Candle,Not for sale,FtrBirthdayCandle_Remake_3_0,3_0,3591
