Name,Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,Style,Catalog,Primary Shape,Secondary Shape,Filename,Internal ID
bear costume,,Blue,No,1700,425,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,Overall,L,TopsTexOnepieceOverallLBear3,9630
bekasab robe,,Blue,No,2520,630,Light blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Gorgeous,For sale,A-long,L,TopsTexOnepieceAlongLUzbek1,11995
bekasab robe,,Camel,No,2520,630,Orange,Brown,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Gorgeous,For sale,A-long,L,TopsTexOnepieceAlongLUzbek2,11996
bekasab robe,,Purple,No,2520,630,Purple,Pink,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Gorgeous,For sale,A-long,L,TopsTexOnepieceAlongLUzbek3,11997
bekasab robe,,Red,No,2520,630,Red,Brown,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Gorgeous,For sale,A-long,L,TopsTexOnepieceAlongLUzbek0,10906
belted dotted dress,,Pink,No,2000,500,Pink,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,Balloon,H,TopsTexOnepieceBalloonHPolkadot1,8866
belted dotted dress,,Yellow,No,2000,500,Yellow,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,Balloon,H,TopsTexOnepieceBalloonHPolkadot2,8867
belted dotted dress,,Green,No,2000,500,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,Balloon,H,TopsTexOnepieceBalloonHPolkadot3,8868
belted dotted dress,,Light blue,No,2000,500,Light blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,Balloon,H,TopsTexOnepieceBalloonHPolkadot0,3054
bingata dress,,Yellow,No,2520,630,Yellow,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLBingata0,10908
blossom dress,,Pink,No,1500,375,Pink,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,A-line,H,TopsTexOnepieceAlineHFlower0,3069
blossom dress,,Blue,No,1500,375,Light blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,A-line,H,TopsTexOnepieceAlineHFlower1,8806
blossom dress,,Yellow,No,1500,375,Yellow,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,A-line,H,TopsTexOnepieceAlineHFlower2,8807
blossom dress,,Green,No,1500,375,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,A-line,H,TopsTexOnepieceAlineHFlower3,8808
blossom dress,,Purple,No,1500,375,Purple,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,A-line,H,TopsTexOnepieceAlineHFlower4,8809
blossoming kimono,,Pink,No,3220,805,Pink,Red,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLUme0,3572
blossoming kimono,,Green tea,No,3220,805,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLUme1,8980
boa parka,,Purple,No,1800,450,Purple,Purple,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,Rib,L,TopsTexOnepieceRibLBore1,7981
boa parka,,Gray,No,1800,450,Gray,Gray,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,Rib,L,TopsTexOnepieceRibLBore2,7982
boa parka,,Pink,No,1800,450,Pink,Pink,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,Rib,L,TopsTexOnepieceRibLBore3,7983
boa parka,,Mint,No,1800,450,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Simple,For sale,Rib,L,TopsTexOnepieceRibLBore0,4604
Bohemian tunic dress,,Navy blue,No,1900,475,Gray,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,Box,L,TopsTexOnepieceBoxLBohemian1,8593
Bohemian tunic dress,,Green,No,1900,475,Beige,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,Box,L,TopsTexOnepieceBoxLBohemian2,8594
Bohemian tunic dress,,Red,No,1900,475,Beige,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,Box,L,TopsTexOnepieceBoxLBohemian0,4409
bold muumuu,,Navy blue,No,1600,400,Blue,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,A-line,N,TopsTexOnepieceAlineNPolynesia0,8190
bold muumuu,,Pink,No,1600,400,Pink,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,A-line,N,TopsTexOnepieceAlineNPolynesia1,8604
bolero coat,,Pink,No,2080,520,Pink,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,A-line,L,TopsTexOnepieceAlineLBolerocoat0,4334
bolero coat,,Yellow,No,2080,520,Yellow,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,A-line,L,TopsTexOnepieceAlineLBolerocoat1,8441
bolero coat,,Blue,No,2080,520,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,A-line,L,TopsTexOnepieceAlineLBolerocoat2,8442
bolero coat,,Green,No,2080,520,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,A-line,L,TopsTexOnepieceAlineLBolerocoat3,8443
bone costume,,White,No,1280,320,Black,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,Overall,L,TopsTexOnepieceOverallLBoneWhite,3609
box-skirt uniform,,Black,No,2300,575,Black,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,L,TopsTexOnepieceBoxLJumperskirtuniform1,7572
box-skirt uniform,,Light blue,No,2300,575,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,L,TopsTexOnepieceBoxLJumperskirtuniform2,7573
box-skirt uniform,,Green,No,2300,575,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,L,TopsTexOnepieceBoxLJumperskirtuniform3,7574
box-skirt uniform,,Gray,No,2300,575,Gray,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,L,TopsTexOnepieceBoxLJumperskirtuniform4,7575
box-skirt uniform,,Red,No,2300,575,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,L,TopsTexOnepieceBoxLJumperskirtuniform5,7576
box-skirt uniform,,Brown,No,2300,575,Brown,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,L,TopsTexOnepieceBoxLJumperskirtuniform6,7577
box-skirt uniform,,Navy blue,No,2300,575,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Simple,For sale,Box,L,TopsTexOnepieceBoxLJumperskirtuniform0,3662
bunny dress,,Yellow,No,1800,450,Yellow,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,A-line,L,TopsTexOnepieceAlineLRabbit1,9622
bunny dress,,White,No,1800,450,White,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,A-line,L,TopsTexOnepieceAlineLRabbit2,9623
bunny dress,,Pink,No,1800,450,Pink,White,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cute,For sale,A-line,L,TopsTexOnepieceAlineLRabbit0,3146
butterfly visiting kimono,,Black,No,2660,665,Black,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLButterfly0,6025
butterfly visiting kimono,,Indigo blue,No,2660,665,Blue,Green,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLButterfly1,9002
butterfly visiting kimono,,Fuchsia,No,2660,665,Purple,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Elegant,For sale,Kimono,L,TopsTexOnepieceKimonoLButterfly2,9003
casual chic dress,,Light blue,No,2400,600,Light blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,A-long,H,TopsTexOnepieceAlongHCachecoeur1,8598
casual chic dress,,Pink,No,2400,600,Pink,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,A-long,H,TopsTexOnepieceAlongHCachecoeur2,8599
casual chic dress,,Green,No,2400,600,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,A-long,H,TopsTexOnepieceAlongHCachecoeur3,8600
casual chic dress,,Navy blue,No,2400,600,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,A-long,H,TopsTexOnepieceAlongHCachecoeur4,8601
casual chic dress,,Purple,No,2400,600,Purple,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,A-long,H,TopsTexOnepieceAlongHCachecoeur5,8602
casual chic dress,,Yellow,No,2400,600,Yellow,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Elegant,For sale,A-long,H,TopsTexOnepieceAlongHCachecoeur0,4596
casual kimono,,Dark blue,No,2000,500,Blue,Gray,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,Kimono,L,TopsTexOnepieceKimonoLKinagashi0,4342
casual kimono,,Aqua,No,2000,500,Light blue,Gray,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,Kimono,L,TopsTexOnepieceKimonoLKinagashi1,9215
casual kimono,,Green,No,2000,500,Green,Gray,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,Kimono,L,TopsTexOnepieceKimonoLKinagashi2,9216
casual kimono,,Mustard,No,2000,500,Brown,Gray,1x1,Able Sisters,Available from Able Sisters shop only,1.0.0,Cool,For sale,Kimono,L,TopsTexOnepieceKimonoLKinagashi3,9217
cat dress,,Brown,No,1800,450,Brown,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,A-line,L,TopsTexOnepieceAlineLCat1,9624
cat dress,,White,No,1800,450,White,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,A-line,L,TopsTexOnepieceAlineLCat2,9625
cat dress,,Navy blue,No,1800,450,Blue,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,A-line,L,TopsTexOnepieceAlineLCat0,3167
caterpillar costume,,Yellow,No,1700,425,Yellow,Orange,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,Rib,N,TopsTexOnepieceRibNCaterpillar1,9638
caterpillar costume,,Rainbow,No,1700,425,Colorful,Colorful,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,Rib,N,TopsTexOnepieceRibNCaterpillar2,9639
caterpillar costume,,Green,No,1700,425,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Cute,For sale,Rib,N,TopsTexOnepieceRibNCaterpillar0,4577
caveman tank,,Yellow,No,1050,262,Yellow,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,Box,N,TopsTexOnepieceBoxNPrimitive1,9626
caveman tank,,Gray,No,1050,262,Gray,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,Box,N,TopsTexOnepieceBoxNPrimitive2,9627
caveman tank,,Orange,No,1050,262,Orange,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,1.0.0,Active,For sale,Box,N,TopsTexOnepieceBoxNPrimitive0,3232
