Name,Image,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Filename,Internal ID
fossil rug,,No,1500,375,Purple,White,3x3 ,Saharah,Medium rug,1.0.0,fancy,child's room,None,Park Rugs,For sale,RugOtherFossilM00,7366
green checked rug,,No,2000,500,Green,Purple,4x4 ,Saharah,Large rug,1.0.0,living room,child's room,None,Pattern Rugs,For sale,RugSquareCheckQuiltL03,7464
green kilim-style carpet,,No,2000,500,Green,Green,5x5 ,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareKirimL02,9314
green kitchen mat,,No,1000,250,Green,Green,2x1 ,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectKitchenS03,8393
green shaggy rug,,No,2000,500,Green,Green,5x5 ,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareShaggyL00,7354
green stripes rug,,No,2000,500,Green,White,4x3 ,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectBorderL03,7534
iron entrance mat,,No,1000,250,Black,Black,2x1 ,Saharah,Small rug,1.0.0,shop,expensive,iron,Slender Rugs,For sale,RugRectIronmatS00,7337
ivory medium round mat,,No,1500,375,Beige,White,3x3 ,Saharah,Medium rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleM00,7325
ivory simple bath mat,,No,1000,250,Beige,Beige,2x1 ,Saharah,Small rug,1.0.0,bathroom,None,None,Slender Rugs,For sale,RugRectBathmatS00,7333
ivory small round mat,,No,1000,250,Beige,White,2x2 ,Saharah,Small rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleS00,7334
lacy rug,,No,1500,375,Beige,White,3x3 ,Saharah,Medium rug,1.0.0,fancy,expensive,None,Shaggy Round Rugs,For sale,RugRoundLaceM00,7368
ladybug rug,,No,NFS,375,Red,Black,3x3 ,Bug-Off,,1.0.0,fancy,child's room,None,Icon Rugs,Not for sale,RugRoundLadybirdM00,7360
light bamboo rug,,Yes,NFS,2400,Beige,Brown,3x2 ,Crafting,Spring seasonal DIY using bamboo (from bamboo trees),1.0.0,zen-style,None,None,Wood Rugs,Not for sale,RugRectBambooM00,11113
magic-circle rug,,No,1500,375,Purple,Purple,3x3 ,Saharah,Medium rug,1.0.0,horror,child's room,None,Shaggy Round Rugs,For sale,RugRoundMagicM00,7367
modern wavy rug,,No,2000,500,Colorful,Colorful,4x3 ,Saharah,Large rug,1.0.0,living room,child's room,None,Slender Pattern Rugs,For sale,RugRectWaveL00,7350
Mom's cool kitchen mat,,No,NFS,88,Light blue,Light blue,2x1 ,Mom,,1.0.0,fancy,kitchen,motherly,Kitchen Rugs,Not for sale,RugRectMomS00,7402
Mom's lively kitchen mat,,No,NFS,88,Yellow,Yellow,2x1 ,Mom,,1.0.0,fancy,kitchen,motherly,Kitchen Rugs,Not for sale,RugRectMomS02,9543
Mom's playful kitchen mat,,No,NFS,88,Pink,Pink,2x1 ,Mom,,1.0.0,fancy,kitchen,motherly,Kitchen Rugs,Not for sale,RugRectMomS01,9542
Mom's reliable kitchen mat,,No,NFS,88,Purple,Purple,2x1 ,Mom,,1.0.0,fancy,kitchen,motherly,Kitchen Rugs,Not for sale,RugRectMomS03,9541
monochromatic dotted rug,,No,2000,500,Black,White,4x3 ,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectDotL00,7349
monochromatic wavy rug,,No,2000,500,Black,White,4x3 ,Saharah,Large rug,1.0.0,living room,child's room,None,Slender Pattern Rugs,For sale,RugRectWaveL01,7456
mush rug,,No,1500,375,Red,Red,3x3 ,Saharah,Medium rug,1.0.0,fancy,child's room,mush,Icon Rugs,For sale,RugOtherMushM00,7363
natural wooden-deck rug,,No,1500,375,Brown,Brown,3x2 ,Saharah,Medium rug,1.0.0,outdoors,None,None,Wood Rugs,For sale,RugRectDeckM01,7380
Nook Inc. botanical rug,,No,NFS,5000,None,None,3x3,Nook Miles Shop,Medium rug,1.1.0,fancy,living room,None,Park Rugs,Not for sale,RugOtherTanukiM00,12325
Nook Inc. rug,,No,NFS,5000,Green,Green,3x3 ,Nook Miles Shop,Medium rug,1.0.0,fancy,child's room,None,Park Rugs,Not for sale,RugOtherLeafM00,7364
Nook Inc. silk rug,,No,NFS,3000,None,None,4x3,Nook Miles Shop,Large rug,1.1.0,facility,shop,None,Park Rugs,Not for sale,RugRectTanukiL00,12396
orange rug,,Yes,NFS,1200,Orange,Orange,3x3 ,Crafting,Medium rug,1.0.0,fancy,child's room,fruits,Fruit Rugs,Not for sale,RugOtherOrangeM00,7330
oval entrance mat,,No,1000,250,Blue,Blue,2x1 ,Saharah,Small rug,1.0.0,living room,None,None,Slender Rugs,For sale,RugOtherCountryS00,7370
peach checked rug,,No,2000,500,Pink,Light blue,4x4 ,Saharah,Large rug,1.0.0,living room,child's room,None,Pattern Rugs,For sale,RugSquareCheckQuiltL02,7463
peach rug,,Yes,NFS,1200,Pink,Pink,3x3 ,Crafting,Medium rug,1.0.0,fancy,child's room,fruits,Fruit Rugs,Not for sale,RugOtherPeachM00,7331
peach stripes rug,,No,2000,500,Pink,White,4x3 ,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectBorderL01,7532
pear rug,,Yes,NFS,1200,Green,Green,3x3 ,Crafting,,1.0.0,fancy,child's room,fruits,Fruit Rugs,Not for sale,RugOtherPearM00,7332
pink heart rug,,No,1500,375,Pink,Pink,3x3 ,Saharah,Medium rug,1.0.0,fancy,child's room,None,Heart Rugs,For sale,RugOtherHeartM00,7322
pink rose rug,,No,1500,375,Pink,Pink,3x3 ,Saharah,Medium rug,1.0.0,fancy,expensive,None,Rose Rug,For sale,RugOtherRoseM00,7365
purple heart rug,,No,1500,375,Purple,Pink,3x3 ,Saharah,Medium rug,1.0.0,fancy,child's room,None,Heart Rugs,For sale,RugOtherHeartM02,7580
purple Persian rug,,No,2000,500,Purple,Beige,5x5 ,Saharah,Large rug,1.0.0,expensive,living room,None,Pattern Rugs,For sale,RugSquarePersianL03,8037
purple shaggy rug,,No,2000,500,Purple,Purple,5x5 ,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareShaggyL03,9562
red argyle rug,,No,2000,500,Red,Red,4x3 ,Saharah,Large rug,1.0.0,living room,expensive,None,Slender Pattern Rugs,For sale,RugRectArgyleL01,8466
red blocks rug,,No,1500,375,Red,Red,3x3 ,Saharah,Medium rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareBlockM00,11101
red carpet,,No,1500,375,Red,Red,3x2 ,Saharah,Medium rug,1.0.0,expensive,None,None,Slender Rugs,For sale,RugRectElegantM00,7348
red dotted rug,,No,2000,500,Red,Red,4x3 ,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectDotL02,7465
red kilim-style carpet,,No,2000,500,Red,Red,5x5 ,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareKirimL00,9313
red medium round mat,,No,1500,375,Red,Red,3x3 ,Saharah,Medium rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleM01,9545
red message mat,,No,1000,250,Red,Red,2x1 ,Saharah,Small rug,1.0.0,child's room,None,None,Message Mats,For sale,RugOtherMessageS03,9312
red Persian rug,,No,2000,500,Red,Beige,5x5 ,Saharah,Large rug,1.0.0,expensive,living room,None,Pattern Rugs,For sale,RugSquarePersianL00,7347
red rose rug,,No,1500,375,Red,Red,3x3 ,Saharah,Medium rug,1.0.0,fancy,expensive,flowers,Rose Rug,For sale,RugOtherRoseM01,8758
red small round mat,,No,1000,250,Red,Red,2x2 ,Saharah,Small rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleS01,9548
red vinyl sheet,,No,1500,375,Red,Colorful,3x2 ,Saharah,Medium rug,1.0.0,garden,None,None,Slender Pattern Rugs,For sale,RugRectVinylM02,7405
red wavy rug,,No,2000,500,Red,Yellow,4x3 ,Saharah,Large rug,1.0.0,living room,child's room,None,Slender Pattern Rugs,For sale,RugRectWaveL03,7457
red-and-blue checked rug,,No,2000,500,Red,Blue,4x4 ,Saharah,Large rug,1.0.0,living room,child's room,None,Pattern Rugs,For sale,RugSquareCheckQuiltL00,7343
red-design kitchen mat,,No,1000,250,Red,Black,2x1 ,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectNativeKitchenS00,7340
retro dotted rug,,No,2000,500,Green,Green,4x3 ,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectDotL01,7466
rough rug,,No,1000,250,Brown,Brown,2x1 ,Saharah,Small rug,1.0.0,school,facility,None,Slender Rugs,For sale,RugRectDoormatS00,7324
rubber mud mat,,No,1000,250,Green,Green,2x1 ,Saharah,Small rug,1.0.0,school,None,None,Slender Rugs,For sale,RugRectRubberScraperS00,7339
shanty mat,,No,2000,500,Brown,Beige,4x4 ,Saharah,Large rug,1.0.0,zen-style,None,None,Simple Rugs,For sale,RugSquareOldStrawL00,7345
shell rug,,Yes,NFS,5400,Beige,Pink,3x3 ,Crafting,,1.0.0,ocean,fancy,shell,Park Rugs,Not for sale,RugOtherShellM00,7362
simple green bath mat,,No,1000,250,Green,Green,2x1 ,Saharah,Small rug,1.0.0,bathroom,None,None,Slender Rugs,For sale,RugRectBathmatS03,7516
simple medium avocado mat,,No,1500,375,Green,Green,3x3 ,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleM03,7524
simple medium black mat,,No,1500,375,Black,Black,3x3 ,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleM07,7539
simple medium blue mat,,No,1500,375,Blue,Blue,3x3 ,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleM02,7523
simple medium brown mat,,No,1500,375,Brown,Brown,3x3 ,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleM01,7519
simple medium orange mat,,No,1500,375,Orange,Orange,3x3 ,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleM05,7536
simple medium purple mat,,No,1500,375,Purple,Purple,3x3 ,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleM06,7538
simple medium red mat,,No,1500,375,Red,Red,3x3 ,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleM04,7540
simple navy bath mat,,No,1000,250,Gray,Gray,2x1 ,Saharah,Small rug,1.0.0,bathroom,None,None,Slender Rugs,For sale,RugRectBathmatS01,7518
simple pink bath mat,,No,1000,250,Pink,Pink,2x1 ,Saharah,Small rug,1.0.0,bathroom,None,None,Slender Rugs,For sale,RugRectBathmatS02,7517
simple small avocado mat,,No,1000,250,Green,Green,2x2 ,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleS03,7520
simple small black mat,,No,1000,250,Black,Black,2x2 ,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleS07,7543
simple small blue mat,,No,1000,250,Blue,Blue,2x2 ,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleS02,7521
simple small brown mat,,No,1000,250,Brown,Brown,2x2 ,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleS01,7522
simple small orange mat,,No,1000,250,Orange,Orange,2x2 ,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleS05,7541
simple small purple mat,,No,1000,250,Purple,Purple,2x2 ,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleS06,7542
simple small red mat,,No,1000,250,Red,Red,2x2 ,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleS04,7537
sloppy rug,,No,2000,500,Light blue,Light blue,4x4 ,Saharah,Large rug,1.0.0,living room,child's room,None,Simple Rugs,For sale,RugOtherSloppyL00,7371
snowflake rug,,No,1500,375,Light blue,White,3x3 ,Saharah,Medium rug,1.0.0,freezing cold,fancy,None,Shaggy Round Rugs,For sale,RugRoundSnowM00,7346
tatami mat,,No,1500,375,Green,Yellow,3x2 ,Saharah,Medium rug,1.0.0,zen-style,None,None,Wood Rugs,For sale,RugRectTatamiM00,7369
tropical rug,,No,1500,375,Green,Beige,3x3 ,Saharah,Medium rug,1.0.0,ocean,None,None,Park Rugs,For sale,RugRoundIslandM00,7358
turquoise heart rug,,No,1500,375,Light blue,Light blue,3x3 ,Saharah,Medium rug,1.0.0,fancy,child's room,None,Heart Rugs,For sale,RugOtherHeartM01,7579
white heart rug,,No,1500,375,White,White,3x3 ,Saharah,Medium rug,1.0.0,fancy,child's room,None,Heart Rugs,For sale,RugOtherHeartM03,7578
white message mat,,No,1000,250,White,White,2x1 ,Saharah,Small rug,1.0.0,child's room,None,None,Message Mats,For sale,RugOtherMessageS00,7338
white rose rug,,No,1500,375,White,White,3x3 ,Saharah,Medium rug,1.0.0,fancy,expensive,flowers,Rose Rug,For sale,RugOtherRoseM03,8757
white simple medium mat,,No,1500,375,Beige,White,3x3 ,Saharah,Medium rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleM00,7335
white simple small mat,,No,1000,250,Beige,White,2x2 ,Saharah,Small rug,1.0.0,living room,facility,None,Simple Rugs,For sale,RugSquareSimpleS00,7336
white wooden-deck rug,,No,1500,375,White,White,3x2 ,Saharah,Medium rug,1.0.0,outdoors,None,None,Wood Rugs,For sale,RugRectDeckM02,7381
yellow argyle rug,,No,2000,500,Yellow,Yellow,4x3 ,Saharah,Large rug,1.0.0,living room,fancy,None,Slender Pattern Rugs,For sale,RugRectArgyleL00,7352
yellow blocks rug,,No,1500,375,Yellow,Brown,3x3 ,Saharah,Medium rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareBlockM02,11103
yellow checked rug,,No,2000,500,Yellow,Green,4x4 ,Saharah,Large rug,1.0.0,living room,child's room,None,Pattern Rugs,For sale,RugSquareCheckQuiltL01,7462
yellow kilim-style carpet,,No,2000,500,Yellow,Beige,5x5 ,Saharah,Large rug,1.0.0,living room,None,None,Pattern Rugs,For sale,RugSquareKirimL03,9315
yellow kitchen mat,,No,1000,250,Yellow,Yellow,2x1 ,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectKitchenS01,8395
yellow medium round mat,,No,1500,375,Yellow,Yellow,3x3 ,Saharah,Medium rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleM03,9544
yellow message mat,,No,1000,250,Yellow,Yellow,2x1 ,Saharah,Small rug,1.0.0,child's room,None,None,Message Mats,For sale,RugOtherMessageS02,9311
yellow Persian rug,,No,2000,500,Yellow,Beige,5x5 ,Saharah,Large rug,1.0.0,expensive,living room,None,Pattern Rugs,For sale,RugSquarePersianL02,8036
yellow rose rug,,No,1500,375,Yellow,Yellow,3x3 ,Saharah,Medium rug,1.0.0,fancy,expensive,flowers,Rose Rug,For sale,RugOtherRoseM02,8759
yellow small round mat,,No,1000,250,Yellow,Yellow,2x2 ,Saharah,Small rug,1.0.0,living room,child's room,None,Shaggy Round Rugs,For sale,RugRoundSimpleS03,9547
yellow stripes rug,,No,2000,500,Yellow,White,4x3 ,Saharah,Large rug,1.0.0,fancy,child's room,None,Slender Pattern Rugs,For sale,RugRectBorderL00,7351
yellow vinyl sheet,,No,1500,375,Yellow,Colorful,3x2 ,Saharah,Medium rug,1.0.0,garden,None,None,Slender Pattern Rugs,For sale,RugRectVinylM03,7403
yellow-design kitchen mat,,No,1000,250,Yellow,Black,2x1 ,Saharah,Small rug,1.0.0,kitchen,None,None,Kitchen Rugs,For sale,RugRectNativeKitchenS02,7596
